"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ARÉA DE PROTEÇÃO AMBIENTAL DE RIBEIRÃOZINHO E ALCANTILADO DO RIO ARAGUAIA","Brazil","Mato Grosso","RIBEIRÃOZINHO (MT)","Uso Sustentável",2.851,"cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_DE_RIBEIRAOZINHO_E_ALCANTILADO_DO_RIO_ARAGUAIA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO (ARIE) NA REGIÃO DA GLEBA A","Brazil","Mato Grosso","RONDONÓPOLIS (MT)","Uso Sustentável",4.904,"cnuc_2025_08.csv","ARIE","ARIE_(ARIE)_NA_REGIAO_DA_GLEBA_A"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ARIE KAYAPÓ","Brazil","Mato Grosso","RONDONÓPOLIS (MT)","Uso Sustentável",4.715,"cnuc_2025_08.csv","ARIE","ARIE_ARIE_KAYAPO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BOE BORORO","Brazil","Mato Grosso","RONDONÓPOLIS (MT)","Uso Sustentável",4.766,"cnuc_2025_08.csv","ARIE","ARIE_BOE_BORORO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO RIO VERMELHO","Brazil","Mato Grosso","RONDONÓPOLIS (MT)","Uso Sustentável",4.882,"cnuc_2025_08.csv","ARIE","ARIE_RIO_VERMELHO"
"ESTAÇÃO ECOLÓGICA RIO DA CASCA","Brazil","Mato Grosso","CAMPO VERDE (MT) - CHAPADA DOS GUIMARÃES (MT)","Proteção Integral",1.898,"cnuc_2025_08.csv","EEC","EEC_RIO_DA_CASCA"
"ESTAÇÃO ECOLÓGICA RIO FLOR DO PRADO","Brazil","Mato Grosso","ARIPUANÃ (MT)","Proteção Integral",1.919,"cnuc_2025_08.csv","EEC","EEC_RIO_FLOR_DO_PRADO"
"ESTAÇÃO ECOLÓGICA RIO MADEIRINHA","Brazil","Mato Grosso","COLNIZA (MT)","Proteção Integral",1.918,"cnuc_2025_08.csv","EEC","EEC_RIO_MADEIRINHA"
"ESTAÇÃO ECOLÓGICA RIO RONURO","Brazil","Mato Grosso","NOVA UBIRATÃ (MT)","Proteção Integral",451,"cnuc_2025_08.csv","EEC","EEC_RIO_RONURO"
"ESTAÇÃO ECOLÓGICA RIO ROOSEVELT","Brazil","Mato Grosso","COLNIZA (MT)","Proteção Integral",1.899,"cnuc_2025_08.csv","EEC","EEC_RIO_ROOSEVELT"
"ESTAÇÃO ECOLÓGICA SERRA DAS ARARAS","Brazil","Mato Grosso","CÁCERES (MT) - PORTO ESTRELA (MT)","Proteção Integral",75,"cnuc_2025_08.csv","EEC","EEC_SERRA_DAS_ARARAS"
"ESTAÇÃO ECOLÓGICA TAIAMÃ","Brazil","Mato Grosso","CÁCERES (MT)","Proteção Integral",62,"cnuc_2025_08.csv","EEC","EEC_TAIAMA"
"ESTAÇÃO ECOLÓGICA VEREDAS DE TAQUARUSSU","Brazil","Mato Grosso do Sul","TAQUARUSSU (MS)","Proteção Integral",3.546,"cnuc_2025_08.csv","EEC","EEC_VEREDAS_DE_TAQUARUSSU"
"MONUMENTO NATURAL GRUTA DO LAGO AZUL","Brazil","Mato Grosso do Sul","BONITO (MS)","Proteção Integral",1.515,"cnuc_2025_08.csv","MONA","MONA_GRUTA_DO_LAGO_AZUL"
"MONUMENTO NATURAL MORRO DE SANTO ANTÔNIO","Brazil","Mato Grosso","SANTO ANTÔNIO DO LEVERGER (MT)","Proteção Integral",1.92,"cnuc_2025_08.csv","MONA","MONA_MORRO_DE_SANTO_ANTONIO"
